,Name,User_name,Date,Content,Comments,Forward,Like,language,1,Restaurant
71,CDaley,@ace11daley·2018年8月11日,2018-08-11,"LETS GOOOOO (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/bGH7dn0B5as",1,,1,en,,Bleecker Street Pizza New York
72,lucyhedges,@lucyhedges·2018年8月10日,2018-08-10,Obviously!! #bleeckerstreetpizza #pizzapizzapizza #pizzafiend #greenwichvillage #lovethisplace #callmeobsessed #nyc #newyork #foreheadsheen #itsHOT @ Bleecker Street Pizza https://instagram.com/p/BmUBtMZhEGj/?utm_source=ig_twitter_share&igshid=haq866e3vbvr…,,,1,en,,Bleecker Street Pizza New York
73,Krampus,@MjolnirMK86·2018年8月7日,2018-08-07,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/faWNQnq0Kwh",1,1,,en,,Bleecker Street Pizza New York
74,Lana Al Attar,@Lana_alattar·2018年7月28日,2018-07-28,If you ever travel to New York.. just to eat this... It would be totally worth it! @ Bleecker Street Pizza https://instagram.com/p/BlwTgAqlUbA/?utm_source=ig_twitter_share&igshid=jfwvi9kfz3og…,,,,en,,Bleecker Street Pizza New York
75,Brian Altano,@agentbizzle·2018年7月23日,2018-07-23,"This is my favorite pizza place in NYC and the #1 thing I miss about living there.If you're ever in New York, get pizza at John's on Bleecker Street.",43,33,590,en,,Bleecker Street Pizza New York
76,Natalia Gallardo,@nataliagallardo·2018年7月16日,2018-07-16,"Pizza!! (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/0GH3BIe0h0G",,,,en,,Bleecker Street Pizza New York
77,"delightful, insightful, fact-filled walking tours!",@TourguideStan·2018年6月6日,2018-06-06,"This is New York heaven: a crisp, delicious, ingredient-rich Nonna Maria slice at Bleecker Street #Pizza.Ask me to take you here after your Greenwich Village tour. @BleeckerPizza",1,1,4,en,,Bleecker Street Pizza New York
78,JIDDY,@JiddyCommittee·2018年5月13日,2018-05-12,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/7h8igGYROTl",1,,1,en,,Bleecker Street Pizza New York
79,Connor,@superstudiostv·2018年4月29日,2018-04-29,Unpopular opinion:Bleecker Street Pizza is better than Grimaldi’s (In New York City/Brooklyn btw),,,,en,,Bleecker Street Pizza New York
80,Mika Pyyhkala,@pyyhkala·2018年4月16日,2018-04-16,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/7MjXENqoOeZ",,,1,en,,Bleecker Street Pizza New York
